kanji,hiragana/katakana,persian,english
唯一,ゆいいつ,"تنها، منحصر به فرد","only, sole"
憂鬱(な),ゆううつ,"افسرده، غمگین","melancholy, gloomy"
有休,ゆうきゅう,مرخصی با حقوق,paid leave
有給休暇,ゆうきゅうきゅうか,تعطیلات با حقوق,paid vacation
優秀な,ゆうしゅうな,"عالی، برتر","excellent, superior"
友人,ゆうじん,دوست,friend
友人達,ゆうじんたち,دوستان (جمع),friends (plural)
Uターン(する),Uターン,دور زدن (دور زدن),U-turn (to make a U-turn)
夕立,ゆうだち,رگبار عصرگاهی,evening shower (rain)
夕焼け,ゆうやけ,درخشش غروب,sunset glow
浴衣,ゆかた,کیمونوی نخی غیررسمی,informal cotton kimono
行き帰り,ゆきかえり,رفت و برگشت,"round trip, going and returning"
行き来(する),ゆきき,رفت و آمد (رفتن و آمدن),coming and going (to come and go)
行き先,ゆきさき,مقصد,destination
行方,ゆくえ,محل سکونت,whereabouts
行方不明,ゆくえふめい,"مفقود، ناپدید","missing, unaccounted for"
豊かな,ゆたかな,"فراوان، ثروتمند","abundant, wealthy"
ゆっくり(する),ゆっくり,"به آرامی، با فراغت (استراحت کردن)","slowly, leisurely (to relax)"
ゆったりと,ゆったりと,"آرام، جادار (استراحت کردن)","relaxed, spacious (to relax)"
ユニークな,ユニークな,منحصر به فرد,unique
由来(する),ゆらい,"منشاء، اشتقاق (منشاء گرفتن)","origin, derivation (to originate)"
許す,ゆるす,"اجازه دادن، مجاز کردن","to permit, to allow"
ようやく,ようやく,"بالاخره، در نهایت","finally, at last"
要領,ようりょう,"نکته، اصل مطلب","point, gist"
予期(する),よき,انتظار (انتظار داشتن),expectation (to expect)
予期せぬ,よきせぬ,غیر منتظره,unexpected
欲張り(な),よくばり,"حریص، طماع","greedy, avaricious"
欲張る,よくばる,حریص بودن,to be greedy
余計[に],よけい[に],"بیش از حد، غیر ضروری","excessively, unnecessarily"
余計な,よけいな,"غیر ضروری، اضافی","unnecessary, extra"
よす,よす,"متوقف کردن، دست کشیدن","to stop, to give up"
予測(する),よそく,پیش بینی (پیش بینی کردن),prediction (to predict)
よそよそしい,よそよそしい,"دور، گوشه گیر","distant, aloof"
与党,よとう,حزب حاکم,ruling party
余白,よはく,"حاشیه، فضای خالی","margin, blank space"
呼びかける,よびかける,"صدا زدن، درخواست کردن","to call out to, to appeal"
呼び出す,よびだす,"صدا زدن، احضار کردن","to call, to summon"
呼び止める,よびとめる,"صدا زدن برای توقف، متوقف کردن","to call to a halt, to stop"
夜更かし(する),よふかし,شب بیداری (شب بیدار ماندن),staying up late (to stay up late)
余分な,よぶんな,"اضافی، مازاد","extra, excess"
予防(する),よぼう,"پیشگیری، احتیاط (پیشگیری کردن)","prevention, precaution (to prevent)"
予防注射(する),よぼうちゅうしゃ,واکسیناسیون (واکسینه کردن),vaccination (to vaccinate)
読み手,よみて,خواننده,reader
余裕,よゆう,余裕 (yoyuu),余裕 (yoyuu)
より,より,"از، نسبت به","from, than"
夜明け,よあけ,"سپیده دم، طلوع فجر","dawn, daybreak"
容器,ようき,"ظرف، مخزن","container, vessel"
陽気 な,ようき な,"شاد، سرزنده","cheerful, lively"
要求(する),ようきゅう,"تقاضا، درخواست (تقاضا کردن، درخواست کردن)","demand, request (to demand, to request)"
用紙,ようし,"فرم خالی، برگه کاغذ","blank form, sheet of paper"
要旨,ようし,"خلاصه، اصل مطلب","summary, gist"
用心(する),ようじん,"مراقبت، احتیاط (مراقب بودن، محتاط بودن)","care, precaution (to take care, to be cautious)"
用心深い,ようじんぶかい,"محتاط، مراقب","cautious, careful"
要するに,ようするに,"خلاصه اینکه، به طور خلاصه","in short, in a word"
要素,ようそ,"عنصر، عامل","element, factor"
要点,ようてん,"نکته اصلی، اصل مطلب","main point, gist"
用途,ようと,"استفاده، کاربرد","use, application"
寄り道(する),よりみち,"انحراف، سفر جانبی (انحراف کردن)","detour, side trip (to make a detour)"
弱気 な,よわき な,"ترسو، ضعیف","timid, weak-kneed"
落書き(する),らくがき,"خط خطی، طراحی (خط خطی کردن)","scribble, doodle (to scribble)"
ラッキー な,ラッキー な,خوش شانس,lucky
ランキング,ランキング,رتبه بندی,ranking
乱暴 な/する,らんぼう な/する,"خشن، زمخت (خشن بودن، زمخت بودن)","violent, rough (to be violent, to be rough)"
リクエスト(する),リクエスト,درخواست (درخواست کردن),request (to request)
リスク,リスク,ریسک,risk
リスト,リスト,لیست,list
リスト アップ(する),リスト アップ,لیست کردن,list up (to list up)
リストラ(する),リストラ,تجدید ساختار (تجدید ساختار کردن),restructuring (to restructure)
リズム,リズム,ریتم,rhythm
リニューアル(する),リニューアル,تجدید (تجدید کردن),renewal (to renew)
リハビリ,リハビリ,توانبخشی,rehabilitation
リハビリテーション,リハビリテーション,توانبخشی,rehabilitation
リフレッシュ(する),リフレッシュ,تازه کردن (تازه کردن),refresh (to refresh)
了解(する),りょうかい,درک (درک کردن),understanding (to understand)
了承(する),りょうしょう,رضایت (رضایت دادن),consent (to consent)
両立(する),りょうりつ,"سازگاری، همزیستی (سازگار بودن)","compatibility, coexistence (to be compatible)"
離陸(する),りりく,برخاستن (برخاستن),takeoff (to take off)
ルーズな,ルーズな,"شل، آرام","loose, relaxed"
ルール,ルール,قانون,rule
礼金,れいきん,"پول کلید، انعام","key money, gratuity"
冷静な,れいせいな,"آرام، خونسرد","calm, composed"
レジャー,レジャー,اوقات فراغت,leisure
レンズ,レンズ,لنز,lens
連想(する),れんそう,تداعی (تداعی کردن),association (to associate)
レントゲン,レントゲン,اشعه ایکس,X-ray
連絡手段,れんらく しゅだん,وسیله ارتباطی,means of communication
若々しい,わかわかしい,جوان,youthful
ワクチン,ワクチン,واکسن,vaccine
わくわく(する),わくわく,"هیجان زده بودن، ذوق زده بودن","to be excited, to be thrilled"
技,わざ,"تکنیک، مهارت","technique, skill"
わずか[な/に],わずか[な/に],"فقط کمی، اندکی","only a little, slightly"
わずらわしい,わずらわしい,"دردسرساز، آزاردهنده","troublesome, bothersome"
わびる,わびる,عذرخواهی کردن,to apologize
割合[に],わりあい[に],"نسبتاً، مقایسه ای","relatively, comparatively"
わりと,わりと,"نسبتاً، کاملاً","relatively, quite"
我々,われわれ,ما,we
ワンパターン,ワンパターン,"یکنواخت، بدون تغییر","monotonous, unchanging"
労働者,ろうどうしゃ,"کارگر، کارمند","worker, laborer"
ローン,ローン,وام,loan
ろくな(～ない),ろくな,"خوب نیست، رضایت بخش نیست","not good, not satisfactory"
ろくに(～ない),ろくに,"به درستی نه، خوب نه","not properly, not well"
ロッカー,ロッカー,کمد قفل دار,locker
ロマン,ロマン,رمانس,romance
ロマンティスト,ロマンティスト,رمانتیست,romanticist
ロマンティックな,ロマンティックな,رمانتیک,romantic
論じる,ろんじる,"بحث کردن، مذاکره کردن","to argue, to discuss"
論理的な,ろんりてきな,منطقی,logical
我が国,わがくに,کشور ما,our country
我が町,わがまち,شهر ما,our town
若者,わかもの,جوانان,young people
我が家,わがや,خانه ما,our home
ジグザグ,ジグザグ,زیگزاگ,zigzag
四隅,よすみ,چهار گوشه,four corners
隙間,すきま,"شکاف، درز","gap, crevice"
卵黄,らんおう,زرده تخم مرغ,egg yolk
火力,かりょく,"نیروی حرارتی، قدرت آتش","thermal power, firepower"
崩れる,くずれる,"فرو ریختن، متلاشی شدن","to collapse, to crumble"
粗熱,あらねつ,"حرارت باقی مانده، گرما","residual heat, warmth"
薬味,やくみ,"چاشنی، ادویه","condiment, spice"
鰹節,かつおぶし,پولک های ماهی بونیتوی خشک شده,dried bonito flakes
凍らせる,こおらせる,منجمد کردن,to freeze
殻,から,"پوسته، سبوس","shell, husk"
黄身,きみ,زرده تخم مرغ,egg yolk
照りだし,てりだし,"درخشش، تابش","shining out, gleaming"
上記,じょうき,"مذکور در بالا، بالا","above-mentioned, the above"
漬け込み,つけこみ,"ترشی انداختن، خیساندن","pickling, soaking"
散りばめる,ちりばめる,"پراکنده کردن، مرصع کردن","to scatter, to inlay"
納豆,なっとう,سویای تخمیر شده,fermented soybeans
バーナー,バーナー,مشعل,burner
希釈済み,きしゃくずみ,"رقیق شده، از قبل رقیق شده","diluted, already diluted"
寸胴,ずんどう,"استوانه ای، صاف","cylindrical, straight-sided"
踊り,おどり,رقص,dance
早退 する,そうたい する,زود ترک کردن,to leave early
教科,きょうか,"موضوع، برنامه درسی","subject, curriculum"
平素,へいそ,"معمولاً، به طور عادی","usually, ordinarily"
正当,せいとう,"عادلانه، مشروع","just, legitimate"
留年,りゅうねん,تکرار سال (در مدرسه),repeating a year (in school)
積極 的 な,せっきょく てき な,"مثبت، فعال","positive, active"
真剣 に,しんけん に,"جدی، صمیمانه","seriously, earnestly"
花粉 症,かふん しょう,"تب یونجه، آلرژی به گرده","hay fever, pollen allergy"
くしゃみ,くしゃみ,عطسه,sneeze
混用,こんよう,"استفاده مختلط، استفاده همزمان","mixed use, using together"
